# Retromod 1.12.2 (MCP) -> 26.1 (Mojang) class moves. Targets validated vs the 26.1 jar.
net/minecraft/advancements/ICriterionTrigger	net/minecraft/advancements/CriterionTrigger
net/minecraft/advancements/ICriterionTrigger$Listener	net/minecraft/advancements/CriterionTrigger$Listener
net/minecraft/block/Block	net/minecraft/world/level/block/Block
net/minecraft/block/BlockBreakable	net/minecraft/world/level/block/HalfTransparentBlock
net/minecraft/block/BlockBush	net/minecraft/world/level/block/BushBlock
net/minecraft/block/BlockCrops	net/minecraft/world/level/block/CropBlock
net/minecraft/block/BlockFire	net/minecraft/world/level/block/BaseFireBlock
net/minecraft/block/BlockHorizontal	net/minecraft/world/level/block/HorizontalDirectionalBlock
net/minecraft/block/BlockLeaves	net/minecraft/world/level/block/LeavesBlock
net/minecraft/block/BlockState	net/minecraft/world/level/block/state/BlockState
net/minecraft/block/BlockStaticLiquid	net/minecraft/world/level/block/LiquidBlock
net/minecraft/block/BlockTNT	net/minecraft/world/level/block/TntBlock
net/minecraft/block/BlockTallGrass	net/minecraft/world/level/block/TallGrassBlock
net/minecraft/block/BlockVine	net/minecraft/world/level/block/VineBlock
net/minecraft/block/Blocks	net/minecraft/world/level/block/Blocks
net/minecraft/block/IGrowable	net/minecraft/world/level/block/BonemealableBlock
net/minecraft/block/SoundType	net/minecraft/world/level/block/SoundType
net/minecraft/block/material/EnumPushReaction	net/minecraft/world/level/material/PushReaction
net/minecraft/block/properties/IProperty	net/minecraft/world/level/block/state/properties/Property
net/minecraft/enchantment/Enchantment	net/minecraft/world/item/enchantment/Enchantment
net/minecraft/enchantment/EnchantmentHelper	net/minecraft/world/item/enchantment/EnchantmentHelper
net/minecraft/enchantment/Enchantments	net/minecraft/world/item/enchantment/Enchantments
net/minecraft/entity/CreatureEntity	net/minecraft/world/entity/PathfinderMob
net/minecraft/entity/Entity	net/minecraft/world/entity/Entity
net/minecraft/entity/IProjectile	net/minecraft/world/entity/projectile/Projectile
net/minecraft/entity/LivingEntity	net/minecraft/world/entity/LivingEntity
net/minecraft/entity/MobEntity	net/minecraft/world/entity/Mob
net/minecraft/entity/SharedMonsterAttributes	net/minecraft/world/entity/ai/attributes/Attributes
net/minecraft/entity/ai/attributes/AbstractAttributeMap	net/minecraft/world/entity/ai/attributes/AttributeMap
net/minecraft/entity/ai/attributes/AttributeModifier	net/minecraft/world/entity/ai/attributes/AttributeModifier
net/minecraft/entity/ai/attributes/IAttribute	net/minecraft/world/entity/ai/attributes/Attribute
net/minecraft/entity/ai/attributes/IAttributeInstance	net/minecraft/world/entity/ai/attributes/AttributeInstance
net/minecraft/entity/item/EntityFallingBlock	net/minecraft/world/entity/item/FallingBlockEntity
net/minecraft/entity/item/EntityTNTPrimed	net/minecraft/world/entity/item/PrimedTnt
net/minecraft/entity/item/EntityXPOrb	net/minecraft/world/entity/ExperienceOrb
net/minecraft/entity/item/ItemEntity	net/minecraft/world/entity/item/ItemEntity
net/minecraft/entity/monster/EntityEnderman	net/minecraft/world/entity/monster/EnderMan
net/minecraft/entity/monster/EntityShulker	net/minecraft/world/entity/monster/Shulker
net/minecraft/entity/player/PlayerEntity	net/minecraft/world/entity/player/Player
net/minecraft/entity/player/ServerPlayerEntity	net/minecraft/server/level/ServerPlayer
net/minecraft/inventory/EntityEquipmentSlot	net/minecraft/world/entity/EquipmentSlot
net/minecraft/inventory/IInventory	net/minecraft/world/Container
net/minecraft/inventory/ISidedInventory	net/minecraft/world/WorldlyContainer
net/minecraft/inventory/InventoryHelper	net/minecraft/world/Containers
net/minecraft/inventory/ItemStackHelper	net/minecraft/world/ContainerHelper
net/minecraft/item/Item	net/minecraft/world/item/Item
net/minecraft/item/ItemAxe	net/minecraft/world/item/AxeItem
net/minecraft/item/ItemBlock	net/minecraft/world/item/BlockItem
net/minecraft/item/ItemDye	net/minecraft/world/item/DyeItem
net/minecraft/item/ItemFood	net/minecraft/world/item/Item
net/minecraft/item/ItemGroup	net/minecraft/world/item/CreativeModeTab
net/minecraft/item/ItemHoe	net/minecraft/world/item/HoeItem
net/minecraft/item/ItemSpade	net/minecraft/world/item/ShovelItem
net/minecraft/item/ItemStack	net/minecraft/world/item/ItemStack
net/minecraft/item/Items	net/minecraft/world/item/Items
net/minecraft/item/crafting/FurnaceRecipes	net/minecraft/world/item/crafting/RecipeManager
net/minecraft/item/crafting/IRecipe	net/minecraft/world/item/crafting/Recipe
net/minecraft/item/crafting/Ingredient	net/minecraft/world/item/crafting/Ingredient
net/minecraft/nbt/CompoundNBT	net/minecraft/nbt/CompoundTag
net/minecraft/nbt/ListNBT	net/minecraft/nbt/ListTag
net/minecraft/potion/Effects	net/minecraft/world/effect/MobEffects
net/minecraft/potion/Potion	net/minecraft/world/effect/MobEffect
net/minecraft/potion/PotionEffect	net/minecraft/world/effect/MobEffectInstance
net/minecraft/state/BooleanProperty	net/minecraft/world/level/block/state/properties/BooleanProperty
net/minecraft/state/IntegerProperty	net/minecraft/world/level/block/state/properties/IntegerProperty
net/minecraft/state/StateContainer	net/minecraft/world/level/block/state/StateDefinition
net/minecraft/tileentity/TileEntity	net/minecraft/world/level/block/entity/BlockEntity
net/minecraft/tileentity/TileEntityFurnace	net/minecraft/world/level/block/entity/AbstractFurnaceBlockEntity
net/minecraft/tileentity/TileEntityLockable	net/minecraft/world/level/block/entity/BaseContainerBlockEntity
net/minecraft/util/CombatTracker	net/minecraft/world/damagesource/CombatTracker
net/minecraft/util/CooldownTracker	net/minecraft/world/item/ItemCooldowns
net/minecraft/util/DamageSource	net/minecraft/world/damagesource/DamageSource
net/minecraft/util/EnumActionResult	net/minecraft/world/InteractionResult
net/minecraft/util/EnumHand	net/minecraft/world/InteractionHand
net/minecraft/util/EnumHandSide	net/minecraft/world/entity/HumanoidArm
net/minecraft/util/EnumParticleTypes	net/minecraft/core/particles/ParticleTypes
net/minecraft/util/FoodStats	net/minecraft/world/food/FoodData
net/minecraft/util/ITickable	net/minecraft/world/level/block/entity/TickingBlockEntity
net/minecraft/util/JsonUtils	net/minecraft/util/GsonHelper
net/minecraft/util/Mirror	net/minecraft/world/level/block/Mirror
